app_id,min_storage,rec_storage
10,-1,-1
20,-1,-1
30,-1,-1
40,-1,-1
50,-1,-1
60,-1,-1
70,-1,-1
80,-1,-1
130,-1,-1
220,6.5,-1
240,-1,-1
280,-1,-1
300,-1,-1
320,-1,-1
340,-1,-1
360,4.0,-1
380,-1,-1
400,-1,-1
420,-1,-1
440,15.0,-1
500,7.5,-1
550,13.0,-1
570,60.0,-1
620,8.0,-1
630,2.5,-1
1002,-1,-1
1200,2.0,-1
1250,2.0,-1
1300,-1,-1
1313,0.7000000000000001,-1
1500,-1,-1
1510,-1,-1
1520,0.07,-1
1530,0.064,-1
1600,-1,-1
1610,-1,-1
1620,-1,-1
1630,-1,-1
1640,-1,-1
1670,-1,-1
1690,-1,-1
1700,-1,-1
1840,15.0,-1
1900,-1,-1
1930,6.0,-1
2100,-1,-1
2200,-1,-1
2210,2.8,-1
2270,-1,-1
2310,-1,-1
2320,-1,-1
2400,-1,-1
2420,-1,-1
2450,2.0,-1
2500,1.0,-1
2520,-1,-1
2540,-1,-1
2590,3.0,-1
2600,-1,-1
2610,-1,-1
2620,2.5,-1
2630,4.0,-1
2640,2.5,-1
2700,2.0,-1
2710,3.0,-1
2720,-1,-1
2800,1.2,-1
2810,10.0,-1
2820,10.0,-1
2840,0.36,-1
2850,0.4,-1
2870,8.0,-1
2900,-1,-1
2910,-1,-1
2920,-1,-1
2990,-1,-1
3010,-1,-1
3020,-1,-1
3050,2.0,-1
3130,5.0,-1
3170,3.02,-1
3230,-1,-1
3260,-1,-1
3270,2.5,-1
3300,-1,-1
3310,-1,-1
3320,-1,-1
3330,-1,-1
3340,-1,-1
3350,-1,-1
3360,-1,-1
3380,-1,-1
3390,-1,-1
3400,-1,-1
3410,-1,-1
3420,-1,-1
3430,-1,-1
3450,-1,-1
3460,-1,-1
3480,-1,-1
3483,-1,-1
3490,-1,-1
3500,0.075,-1
3510,0.075,-1
3520,0.034,-1
3530,0.075,-1
3540,-1,-1
3560,0.25,-1
3570,0.05,-1
3580,0.05,-1
3590,-1,-1
3600,0.042,-1
3610,0.04,-1
3620,-1,-1
3700,4.0,-1
3710,1.5,-1
3720,1.4,-1
3730,0.5,-1
3800,-1,-1
3810,-1,-1
3820,-1,-1
3830,4.0,-1
3900,3.5,-1
3910,-1,-1
3920,-1,-1
3960,2.0,-1
3980,-1,-1
3990,3.5,-1
4000,10.0,-1
4100,-1,-1
4230,-1,-1
4290,-1,-1
4300,-1,-1
4420,-1,-1
4460,4.5,-1
4470,11.0,-1
4500,6.0,-1
4520,-1,-1
4530,-1,-1
4560,9.0,-1
4570,-1,-1
4580,-1,-1
4700,15.0,-1
4720,8.0,-1
4760,-1,-1
4770,-1,-1
4780,15.0,-1
4800,-1,-1
4850,0.55,-1
4870,0.1,-1
4880,0.35000000000000003,-1
4890,1.8,-1
4900,-1,-1
4920,13.0,-1
6000,2.0,-1
6010,2.0,-1
6020,2.0,-1
6030,1.0,-1
6040,2.0,-1
6060,4.3,-1
6080,3.9,-1
6090,4.5,-1
6120,2.0,-1
6200,-1,-1
6210,-1,-1
6220,-1,-1
6250,-1,-1
6270,4.0,-1
6300,7.0,-1
6310,-1,-1
6370,1.0,-1
6400,-1,-1
6420,-1,-1
6510,-1,-1
6600,0.02,-1
6800,-1,-1
6810,-1,-1
6830,-1,-1
6840,-1,-1
6850,-1,-1
6860,-1,-1
6870,-1,-1
6880,-1,-1
6900,0.4,-1
6910,-1,-1
6920,-1,-1
6980,-1,-1
7000,-1,-1
7010,-1,-1
7020,-1,-1
7110,-1,-1
7200,1.5,-1
7210,-1,-1
7220,-1,-1
7260,-1,-1
